;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;Results Summary - All Ballots;;;;;;;;;;;;;;
;;;;;;;Printed on: 2021/11/25 10:22:45;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;Electoral Event:;;;;LOCAL GOVERNMENT ELECTION 2021;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;Province:;;;;Gauteng;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;Municipality:;;;;TSH - City of Tshwane;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;Ward:;;;;All Wards;;;;;;;;;;
;;;;;;Voting District:;;;;All Voting Districts;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;Party Name;;;Ward;;;;PR ;;;"Total 
(Ward + PR)";;;;DC 40%;;"Total - All Ballots
(Ward + PR + DC 40%)";;;
;;;;"Total 
Valid 
Votes";"% Total
Valid 
Votes";;;"Total 
Valid 
Votes";"% Total
Valid 
Votes";;"Total 
Valid 
Votes";"% Total
Valid 
Votes";;;"Total 
Valid 
Votes";"% Total
Valid 
Votes";"Total 
Valid 
Votes";"% Total
Valid 
Votes";;
;ABANTU BATHO CONGRESS;;;526;0,08%;;;768;0,11%;;1 294;0,10%;;;-;-;1 294;0,10%;;
;ACTIONSA;;;53 712;7,99%;;;62 502;9,28%;;116 214;8,64%;;;-;-;116 214;8,64%;;
;ACTIVE MOVEMENT FOR CHANGE;;;51;0,01%;;;-;-;;51;0,00%;;;-;-;51;0,00%;;
;ACTIVISTS MOVEMENT OF SOUTH AFRICA;;;290;0,04%;;;350;0,05%;;640;0,05%;;;-;-;640;0,05%;;
;AFRICA RESTORATION ALLIANCE;;;952;0,14%;;;659;0,10%;;1 611;0,12%;;;-;-;1 611;0,12%;;
;AFRICAN CHRISTIAN DEMOCRATIC PARTY;;;6 281;0,93%;;;6 094;0,91%;;12 375;0,92%;;;-;-;12 375;0,92%;;
;AFRICAN COVENANT;;;641;0,10%;;;455;0,07%;;1 096;0,08%;;;-;-;1 096;0,08%;;
;AFRICAN INDEPENDENT CONGRESS;;;2 581;0,38%;;;5 442;0,81%;;8 023;0,60%;;;-;-;8 023;0,60%;;
;AFRICAN MANDATE CONGRESS;;;677;0,10%;;;1 244;0,18%;;1 921;0,14%;;;-;-;1 921;0,14%;;
;AFRICAN NATIONAL CONGRESS;;;231 520;34,42%;;;234 521;34,84%;;466 041;34,63%;;;-;-;466 041;34,63%;;
;AFRICAN PEOPLE'S CONVENTION;;;294;0,04%;;;425;0,06%;;719;0,05%;;;-;-;719;0,05%;;
;AFRICAN TRANSFORMATION MOVEMENT;;;1 109;0,16%;;;1 197;0,18%;;2 306;0,17%;;;-;-;2 306;0,17%;;
;AGANG SOUTH AFRICA;;;0;0,00%;;;761;0,11%;;761;0,06%;;;-;-;761;0,06%;;
;AGENCY FOR NEW AGENDA;;;0;0,00%;;;222;0,03%;;222;0,02%;;;-;-;222;0,02%;;
;AL JAMA-AH;;;341;0,05%;;;576;0,09%;;917;0,07%;;;-;-;917;0,07%;;
;ARUSHA ECONOMIC COALITION;;;345;0,05%;;;547;0,08%;;892;0,07%;;;-;-;892;0,07%;;
