;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;AZANIAN PEOPLE'S ORGANISATION;;;664;0,10%;;;384;0,06%;;1 048;0,08%;;;-;-;1 048;0,08%;;
;BLACK FIRST LAND FIRST;;;246;0,04%;;;388;0,06%;;634;0,05%;;;-;-;634;0,05%;;
;BOLSHEVIKS PARTY OF SOUTH AFRICA;;;54;0,01%;;;76;0,01%;;130;0,01%;;;-;-;130;0,01%;;
;CAPE COLOURED CONGRESS;;;23;0,00%;;;-;-;;23;0,00%;;;-;-;23;0,00%;;
;CHRISTIAN DEMOCRATIC PARTY;;;741;0,11%;;;614;0,09%;;1 355;0,10%;;;-;-;1 355;0,10%;;
;CONCERN;;;748;0,11%;;;568;0,08%;;1 316;0,10%;;;-;-;1 316;0,10%;;
;CONGRESS  OF THE PEOPLE;;;1 351;0,20%;;;1 246;0,19%;;2 597;0,19%;;;-;-;2 597;0,19%;;
;DEFENDERS OF THE PEOPLE;;;3 879;0,58%;;;3 291;0,49%;;7 170;0,53%;;;-;-;7 170;0,53%;;
;DEMOCRATIC ALLIANCE;;;217 190;32,29%;;;213 852;31,77%;;431 042;32,03%;;;-;-;431 042;32,03%;;
;DEMOCRATIC ARTISTS PARTY;;;35;0,01%;;;412;0,06%;;447;0,03%;;;-;-;447;0,03%;;
;DISABILITY AND OLDER PERSON POLITICAL PARTY;;;27;0,00%;;;-;-;;27;0,00%;;;-;-;27;0,00%;;
;ECONOMIC EMANCIPATION FORUM;;;344;0,05%;;;404;0,06%;;748;0,06%;;;-;-;748;0,06%;;
;ECONOMIC FREEDOM FIGHTERS;;;73 605;10,94%;;;70 228;10,43%;;143 833;10,69%;;;-;-;143 833;10,69%;;
;FEDERAL PARTY SA;;;354;0,05%;;;329;0,05%;;683;0,05%;;;-;-;683;0,05%;;
;FORUM 4 SERVICE DELIVERY;;;190;0,03%;;;234;0,03%;;424;0,03%;;;-;-;424;0,03%;;
;GOD SAVE AFRICA;;;23;0,00%;;;210;0,03%;;233;0,02%;;;-;-;233;0,02%;;
;GOOD;;;1 131;0,17%;;;1 065;0,16%;;2 196;0,16%;;;-;-;2 196;0,16%;;
;INDEPENDENT;;;9 623;1,43%;;;-;-;;9 623;0,72%;;;-;-;9 623;0,72%;;
;INKATHA FREEDOM PARTY;;;596;0,09%;;;1 385;0,21%;;1 981;0,15%;;;-;-;1 981;0,15%;;
;KHOISAN KINGDOM AND ALL PEOPLE;;;38;0,01%;;;-;-;;38;0,00%;;;-;-;38;0,00%;;
;NATIONAL FREEDOM PARTY;;;99;0,01%;;;292;0,04%;;391;0,03%;;;-;-;391;0,03%;;
;PAN AFRICANIST CONGRESS OF AZANIA;;;1 194;0,18%;;;1 393;0,21%;;2 587;0,19%;;;-;-;2 587;0,19%;;
;PARTY OF ACTION;;;500;0,07%;;;763;0,11%;;1 263;0,09%;;;-;-;1 263;0,09%;;
;PATRIOTIC ALLIANCE;;;3 525;0,52%;;;3 219;0,48%;;6 744;0,50%;;;-;-;6 744;0,50%;;
;POELANO REVELATION PARTY;;;8;0,00%;;;142;0,02%;;150;0,01%;;;-;-;150;0,01%;;
;REPUBLICAN CONFERENCE OF TSHWANE;;;1 700;0,25%;;;869;0,13%;;2 569;0,19%;;;-;-;2 569;0,19%;;
;SOUTH AFRICAN ROYAL KINGDOMS ORGANIZATION;;;5;0,00%;;;167;0,02%;;172;0,01%;;;-;-;172;0,01%;;
;SPECTRUM NATIONAL PARTY;;;132;0,02%;;;82;0,01%;;214;0,02%;;;-;-;214;0,02%;;
;THE ORGANIC HUMANITY MOVEMENT;;;325;0,05%;;;271;0,04%;;596;0,04%;;;-;-;596;0,04%;;
;THE PEOPLE'S VOICE;;;376;0,06%;;;351;0,05%;;727;0,05%;;;-;-;727;0,05%;;
;UNITED CHRISTIAN DEMOCRATIC PARTY;;;37;0,01%;;;624;0,09%;;661;0,05%;;;-;-;661;0,05%;;
;UNITED CULTURAL MOVEMENT;;;29;0,00%;;;152;0,02%;;181;0,01%;;;-;-;181;0,01%;;
;UNITED DEMOCRATIC MOVEMENT;;;494;0,07%;;;760;0,11%;;1 254;0,09%;;;-;-;1 254;0,09%;;
;UNITED INDEPENDENT MOVEMENT;;;491;0,07%;;;1 173;0,17%;;1 664;0,12%;;;-;-;1 664;0,12%;;
;VRYHEIDSFRONT PLUS;;;53 506;7,96%;;;52 458;7,79%;;105 964;7,87%;;;-;-;105 964;7,87%;;
;Total Valid Votes;;;672 603;100,00%;;;673 165;100,00%;;1 345 768;100,00%;;;-;-;1 345 768;100,00%;;
;Total Spoilt Votes;;;7 918;;;;8 843;;;16 761;;;;0;;16 761;;;
;Total Votes Cast;;;680 521;;;;682 008;;;1 362 529;;;;0;;1 362 529;;;
;Total Voter Turnout;;;;;;;;;;688 237;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
