Ward;Region;Registered Voters 2011;Registered Voters 2016;Registered Voters 2021;Turnout 20211;Turnout 2016;Turnout 2021;DA Ward Vote 2011;DA Ward Vote 2016;DA Ward Vote 2021;DA PR Vote 2011;DA PR Vote 2016;DA PR Vote 2021;ANC Ward Vote 2011;ANC Ward Vote 2016;ANC Ward Vote 2021;ANC PR Vote 2011;ANC PR Vote 2016;ANC PR Vote 2021;EFF Ward Vote 2011;EFF Ward Vote 2016;EFF Ward Vote 2021;EFF PR Vote 2011;EFF PR Vote 2016;EFF PR Vote 2021;ASA Ward Vote 2011;ASA Ward Vote 2016;ASA Ward Vote 2021;ASA PR Vote 2011;ASA PR Vote 2016;ASA PR Vote 2021;VF Plus Ward Vote 2011;VF Plus Ward Vote 2016;VF Plus Ward Vote 2021;VF Plus PR Vote 2011;VF Plus PR Vote 2016;VF Plus PR Vote 2021;Ward Status (LRW/MW/SW)
78;4;11 454;12 371;13012;7 976;8502;7254;6702;7144;4914;6655;7160;4737;887;671;428;908;667;452;-;270;225;-;232;197;-;-;586;-;-;708;211;297;862;216;272;900;
79;4;14 559;15 953;15643;9 733;11960;9753;8407;10258;6033;8438;10262;6122;771;806;443;809;843;464;-;286;159;-;288;170;-;-;830;-;-;806;323;408;1904;294;386;1834;
80;3;12 497;12 099;14754;3 322;4184;3463;912;765;267;919;785;272;2149;1885;1281;2171;1938;1304;-;1408;1209;-;1328;1109;-;-;446;-;-;525;38;26;17;28;26;13;
81;3;11 172;12 518;12319;2 713;4236;2607;529;780;265;503;789;258;2038;1881;1048;2060;1927;1006;-;1399;685;-;1353;628;-;-;421;-;-;475;13;28;74;7;33;76;
82;3;12 429;12 840;13481;8 458;9314;7988;7395;8247;6287;7294;8249;6022;670;543;294;691;556;293;-;131;84;-;117;65;-;-;314;-;-;437;226;268;810;244;267;873;
83;6;11 285;12 005;15007;7 256;8329;8992;6202;7189;6185;6211;7165;6023;684;489;386;673;492;385;-;162;131;-;174;114;-;-;450;-;-;594;214;356;1508;193;349;1318;
84;3;11 963;15 917;16300;7 896;11672;10002;6431;10070;6431;6439;10073;6356;921;529;326;967;549;325;-;169;128;-;153;109;-;-;516;-;-;564;315;675;2109;291;675;1986;
85;6;14 601;17 150;15294;10 409;12711;9530;8870;10750;6327;8858;10740;6132;1013;1087;650;1020;1106;648;-;417;354;-;406;324;-;-;633;-;-;779;329;316;1218;304;320;1234;
86;6;13 450;16 221;12300;6 706;8734;4617;382;1148;228;380;1256;197;5980;5702;2666;6071;5699;2662;-;1622;812;-;1444;827;-;-;444;-;-;512;14;18;11;5;15;6;
87;5;12 102;15 571;14644;7 123;10133;7627;4710;6674;3994;4669;6672;3440;1992;2019;1246;2021;2059;1204;-;634;325;-;614;309;-;-;256;-;-;298;190;506;1531;181;479;1504;
88;1;13 503;12 247;14097;7 152;6820;5632;373;1070;309;363;1068;317;6410;4531;3611;6344;4647;3482;-;940;923;-;915;893;-;-;378;-;-;423;9;2;7;2;2;13;
89;1;12 807;12 677;14712;6 406;6727;5234;281;801;241;267;790;231;5813;4440;3176;5936;4466;3390;-;1310;985;-;1279;934;-;-;356;-;-;409;6;6;5;1;1;3;
90;1;11 573;17 543;16139;5 674;9602;5857;319;1343;304;309;1296;285;5103;5816;3502;5139;5850;3470;-;2148;1226;-;2097;1078;-;-;546;-;-;604;0;5;7;1;4;7;
91;6;13 773;19 534;15610;9 726;15407;9486;7734;12601;5284;7739;12632;5151;1487;1578;909;1516;1547;893;-;499;387;-;539;354;-;-;743;-;-;906;171;478;1771;254;453;1563;
92;3;11 466;13 512;13153;4 533;6235;4180;2176;2772;1384;2188;2747;1320;2019;2054;1010;2047;2091;1055;-;1136;688;-;1077;601;-;-;648;-;-;651;85;98;194;82;97;194;
93;6;12 062;11 964;13861;6 348;5923;5165;1234;549;258;1239;548;272;4635;4125;3016;4761;4127;2971;-;1022;941;-;996;890;-;-;617;-;-;676;50;2;11;35;0;12;
94;1;10 613;12 529;11869;6 142;7141;5482;391;931;207;369;950;235;5475;5025;3600;5416;5029;3616;-;940;818;-;918;777;-;-;438;-;-;407;0;4;5;1;1;5;
95;2;10 715;12 953;12283;6 484;7474;5452;429;1512;620;366;1470;635;5707;4913;3343;5895;4961;3209;-;639;727;-;617;679;-;-;122;-;-;146;5;126;252;2;118;242;
96;2;11 491;15 745;15210;7 111;9872;7740;4181;6743;3956;4152;6640;3678;2446;2024;704;2466;2071;1053;-;539;620;-;542;583;-;-;494;-;-;642;203;385;1518;192;395;1513;
97;6;12 435;13 094;14969;5 730;6051;5385;212;474;293;265;489;265;3290;3697;3533;4175;3940;3346;-;1282;1003;-;1338;911;-;-;224;-;-;259;2;1;7;2;0;6;
98;1;12 353;16 432;15510;8 287;11650;8143;6199;7355;3310;6191;7301;2983;1443;2327;1286;1500;2323;1329;-;1317;725;-;1289;700;-;-;1086;-;-;1317;391;458;1167;365;454;1147;
99;2;11 358;17 359;13176;5 702;10365;5614;1290;4553;817;1253;4529;833;3729;4031;3023;3958;4052;3120;-;1284;643;-;1248;678;-;-;71;-;-;102;74;294;366;72;288;332;
100;5;12 763;14 948;14250;6 916;9221;6558;2629;3570;2610;2654;3594;2418;3826;3644;1763;3886;3834;1893;-;1086;614;-;1104;614;-;-;290;-;-;330;191;438;858;165;416;897;
101;7;12 163;17 376;20202;7 838;12656;12118;5311;9295;7504;5250;9379;7642;1816;1909;846;1907;1893;908;-;505;358;-;532;376;-;-;679;-;-;1032;420;641;1694;393;605;1619;
102;7;12 732;14 634;14630;7 291;9014;6765;1377;1840;1447;1358;1776;1414;5430;5955;3092;5416;6074;2722;-;709;684;-;677;591;-;-;130;-;-;166;85;152;1029;79;139;958;M
103;7;10 971;12 429;13194;6 447;7477;5477;258;438;325;272;497;283;5566;5410;3545;5769;5716;3564;-;591;1144;-;691;1018;-;-;200;-;-;221;3;3;10;2;3;7;
104;7;11 145;12 336;15210;6 530;7007;6039;216;582;234;195;520;228;6057;5414;4515;6135;5541;4281;-;748;785;-;694;820;-;-;112;-;-;153;7;11;6;3;2;6;
105;7;11 679;13 125;14585;6 713;8044;7057;2000;2471;1827;2019;2462;1869;4119;4324;2817;4237;4463;2788;-;588;939;-;586;843;-;-;181;-;-;213;226;308;764;188;281;773;
106;4;-;17 723;13403;-;9207;4360;;744;256;;737;270;;5858;2456;;5814;2600;-;2169;801;-;2350;845;-;-;215;-;-;236;;9;8;;7;24;
107;3;-;14 092;14524;-;6942;5254;;351;179;;441;171;;3940;2866;;3999;2883;-;2373;1590;-;2281;1571;-;-;305;-;-;360;;3;3;;3;0;
