;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;Voter Turnout Report;;;;;;;;;;
;;;;;Printed on: 2016/08/11 16:35:15;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;Electoral Event:;LOCAL GOVERNMENT ELECTION 2016;;;;;;;
;;;;;;;;;;;;;;
;;;;;;Province:;Gauteng;;;;;;;
;;;;;;;;;;;;;;
;;;;;;Municipality:;TSH - Tshwane Metro;;;;;;;
;;;;;;;;;;;;;;
;;;;;;Ward:;All Wards;;;;;;;
;;;;;;;;;;;;;;
;All information in the report pertains to audited VDs.;;;;;;;;;;;;;
;Voter Turnout = Highest of either Ward or PR Total Votes Cast.;;;;;;;;;;;;;
;% Voter Turnout = (Highest of either Ward and PR Total Votes Cast) / (Registered Population + MEC7 Votes) * 100.;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Ward;;;;;"Registered 
Voters";;"MEC7
Votes";"Voter
Turnout";;;"% Voter
Turnout";;
;79900079;;;;;15 953;;15;11 960;;;74,90%;;
;79900080;;;;;12 099;;14;4 184;;;34,54%;;
;79900081;;;;;12 518;;8;4 236;;;33,82%;;
;79900082;;;;;12 840;;4;9 314;;;72,52%;;
;79900083;;;;;12 005;;21;8 329;;;69,26%;;
;79900084;;;;;15 917;;46;11 672;;;73,12%;;
;79900085;;;;;17 150;;0;12 711;;;74,12%;;
;79900086;;;;;16 221;;22;8 734;;;53,77%;;
;79900087;;;;;15 571;;3;10 133;;;65,06%;;
;79900088;;;;;12 247;;13;6 820;;;55,63%;;
;79900089;;;;;12 677;;8;6 727;;;53,03%;;
;79900090;;;;;17 543;;26;9 602;;;54,65%;;
;79900091;;;;;19 534;;5;15 407;;;78,85%;;
;79900092;;;;;13 512;;11;6 235;;;46,11%;;
;79900093;;;;;11 964;;6;5 923;;;49,48%;;
;79900094;;;;;12 529;;18;7 141;;;56,91%;;
;79900095;;;;;12 953;;3;7 474;;;57,69%;;
;79900096;;;;;15 745;;20;9 872;;;62,62%;;
;79900097;;;;;13 094;;2;6 051;;;46,20%;;
;79900098;;;;;16 432;;5;11 650;;;70,88%;;
;79900099;;;;;17 359;;6;10 365;;;59,69%;;
;79900100;;;;;14 948;;10;9 221;;;61,65%;;
;79900101;;;;;17 376;;15;12 656;;;72,77%;;
;79900102;;;;;14 634;;2;9 014;;;61,59%;;
;79900103;;;;;12 429;;24;7 477;;;60,04%;;
;79900104;;;;;12 336;;5;7 007;;;56,78%;;
;79900105;;;;;13 125;;7;8 044;;;61,25%;;
;79900106;;;;;17 723;;144;9 207;;;51,53%;;
;79900107;;;;;14 092;;9;6 942;;;49,23%;;
;Total;;;;;1 512 524;;2 627;896 973;;;59,20%;;
;;;;;;;;;;;;;;
